date,daypart,station,total_avails,booked,remaining
2024-01-01,EM,KIRO-TV,2,1,1
2024-01-02,EM,KIRO-TV,2,2,0
2024-01-03,EM,KIRO-TV,2,0,2
2024-01-04,EM,KIRO-TV,2,1,1
2024-01-05,EM,KIRO-TV,2,0,2
2024-01-06,EM,KIRO-TV,2,1,1
2024-01-07,EM,KIRO-TV,3,1,2
2024-01-08,EM,KIRO-TV,7,6,1
2024-01-09,EM,KIRO-TV,5,4,1
2024-01-10,EM,KIRO-TV,3,2,1
2024-01-11,EM,KIRO-TV,4,3,1
2024-01-12,EM,KIRO-TV,1,0,1
2024-01-13,EM,KIRO-TV,3,1,2
2024-01-14,EM,KIRO-TV,3,1,2
2024-01-15,EM,KIRO-TV,0,0,0
2024-01-16,EM,KIRO-TV,2,1,1
2024-01-17,EM,KIRO-TV,2,1,1
2024-01-18,EM,KIRO-TV,3,2,1
2024-01-19,EM,KIRO-TV,1,0,1
2024-01-20,EM,KIRO-TV,1,1,0
2024-01-21,EM,KIRO-TV,3,1,2
2024-01-22,EM,KIRO-TV,3,1,2
2024-01-23,EM,KIRO-TV,2,0,2
2024-01-24,EM,KIRO-TV,2,1,1
2024-01-25,EM,KIRO-TV,3,2,1
2024-01-26,EM,KIRO-TV,2,1,1
2024-01-27,EM,KIRO-TV,2,2,0
2024-01-28,EM,KIRO-TV,2,2,0
2024-01-29,EM,KIRO-TV,4,1,3
2024-01-30,EM,KIRO-TV,2,1,1
2024-01-31,EM,KIRO-TV,3,2,1
2024-02-01,EM,KIRO-TV,3,1,2
2024-02-02,EM,KIRO-TV,5,4,1
2024-02-03,EM,KIRO-TV,4,3,1
2024-02-04,EM,KIRO-TV,1,1,0
2024-02-05,EM,KIRO-TV,3,2,1
2024-02-06,EM,KIRO-TV,6,4,2
2024-02-07,EM,KIRO-TV,3,2,1
2024-02-08,EM,KIRO-TV,3,2,1
2024-02-09,EM,KIRO-TV,4,3,1
2024-02-10,EM,KIRO-TV,2,0,2
2024-02-11,EM,KIRO-TV,2,1,1
2024-02-12,EM,KIRO-TV,2,1,1
2024-02-13,EM,KIRO-TV,2,0,2
2024-02-14,EM,KIRO-TV,4,3,1
2024-02-15,EM,KIRO-TV,0,0,0
2024-02-16,EM,KIRO-TV,1,1,0
2024-02-17,EM,KIRO-TV,5,3,2
2024-02-18,EM,KIRO-TV,1,0,1
2024-02-19,EM,KIRO-TV,2,1,1
2024-02-20,EM,KIRO-TV,2,0,2
2024-02-21,EM,KIRO-TV,2,1,1
2024-02-22,EM,KIRO-TV,1,0,1
2024-02-23,EM,KIRO-TV,5,2,3
2024-02-24,EM,KIRO-TV,6,4,2
2024-02-25,EM,KIRO-TV,3,2,1
2024-02-26,EM,KIRO-TV,4,2,2
2024-02-27,EM,KIRO-TV,4,1,3
2024-02-28,EM,KIRO-TV,3,2,1
2024-02-29,EM,KIRO-TV,1,1,0
2024-03-01,EM,KIRO-TV,4,3,1
2024-03-02,EM,KIRO-TV,3,1,2
2024-03-03,EM,KIRO-TV,4,2,2
2024-03-04,EM,KIRO-TV,1,0,1
2024-03-05,EM,KIRO-TV,2,0,2
2024-03-06,EM,KIRO-TV,3,1,2
2024-03-07,EM,KIRO-TV,3,2,1
2024-03-08,EM,KIRO-TV,1,0,1
2024-03-09,EM,KIRO-TV,3,3,0
2024-03-10,EM,KIRO-TV,1,0,1
2024-03-11,EM,KIRO-TV,5,4,1
2024-03-12,EM,KIRO-TV,2,1,1
2024-03-13,EM,KIRO-TV,2,0,2
2024-03-14,EM,KIRO-TV,1,0,1
2024-03-15,EM,KIRO-TV,2,1,1
2024-03-16,EM,KIRO-TV,2,0,2
2024-03-17,EM,KIRO-TV,3,2,1
2024-03-18,EM,KIRO-TV,1,0,1
2024-03-19,EM,KIRO-TV,1,1,0
2024-03-20,EM,KIRO-TV,5,3,2
2024-03-21,EM,KIRO-TV,5,4,1
2024-03-22,EM,KIRO-TV,4,2,2
2024-03-23,EM,KIRO-TV,4,2,2
2024-03-24,EM,KIRO-TV,3,1,2
2024-03-25,EM,KIRO-TV,3,3,0
2024-03-26,EM,KIRO-TV,2,2,0
2024-03-27,EM,KIRO-TV,4,2,2
2024-03-28,EM,KIRO-TV,4,2,2
2024-03-29,EM,KIRO-TV,6,3,3
2024-03-30,EM,KIRO-TV,1,0,1
2024-03-31,EM,KIRO-TV,2,1,1
2024-04-01,EM,KIRO-TV,4,3,1
2024-04-02,EM,KIRO-TV,1,0,1
2024-04-03,EM,KIRO-TV,1,1,0
2024-04-04,EM,KIRO-TV,3,2,1
2024-04-05,EM,KIRO-TV,1,0,1
2024-04-06,EM,KIRO-TV,3,0,3
2024-04-07,EM,KIRO-TV,3,2,1
2024-04-08,EM,KIRO-TV,0,0,0
2024-04-09,EM,KIRO-TV,3,1,2
2024-04-10,EM,KIRO-TV,1,0,1
2024-04-11,EM,KIRO-TV,1,0,1
2024-04-12,EM,KIRO-TV,2,1,1
2024-04-13,EM,KIRO-TV,3,1,2
2024-04-14,EM,KIRO-TV,2,1,1
2024-04-15,EM,KIRO-TV,2,1,1
2024-04-16,EM,KIRO-TV,4,2,2
2024-04-17,EM,KIRO-TV,4,3,1
2024-04-18,EM,KIRO-TV,5,3,2
2024-04-19,EM,KIRO-TV,2,1,1
2024-04-20,EM,KIRO-TV,1,0,1
2024-04-21,EM,KIRO-TV,3,0,3
2024-04-22,EM,KIRO-TV,2,1,1
2024-04-23,EM,KIRO-TV,3,2,1
2024-04-24,EM,KIRO-TV,5,3,2
2024-04-25,EM,KIRO-TV,2,1,1
2024-04-26,EM,KIRO-TV,0,0,0
2024-04-27,EM,KIRO-TV,2,1,1
2024-04-28,EM,KIRO-TV,3,2,1
2024-04-29,EM,KIRO-TV,2,2,0
2024-04-30,EM,KIRO-TV,2,1,1
2024-05-01,EM,KIRO-TV,1,1,0
2024-05-02,EM,KIRO-TV,5,4,1
2024-05-03,EM,KIRO-TV,5,4,1
2024-05-04,EM,KIRO-TV,4,2,2
2024-05-05,EM,KIRO-TV,4,2,2
2024-05-06,EM,KIRO-TV,2,0,2
2024-05-07,EM,KIRO-TV,1,0,1
2024-05-08,EM,KIRO-TV,3,1,2
2024-05-09,EM,KIRO-TV,2,2,0
2024-05-10,EM,KIRO-TV,6,3,3
2024-05-11,EM,KIRO-TV,3,1,2
2024-05-12,EM,KIRO-TV,2,0,2
2024-05-13,EM,KIRO-TV,2,1,1
2024-05-14,EM,KIRO-TV,1,1,0
2024-05-15,EM,KIRO-TV,4,2,2
2024-05-16,EM,KIRO-TV,5,2,3
2024-05-17,EM,KIRO-TV,3,2,1
2024-05-18,EM,KIRO-TV,2,1,1
2024-05-19,EM,KIRO-TV,1,1,0
2024-05-20,EM,KIRO-TV,1,0,1
2024-05-21,EM,KIRO-TV,1,1,0
2024-05-22,EM,KIRO-TV,2,0,2
2024-05-23,EM,KIRO-TV,1,1,0
2024-05-24,EM,KIRO-TV,2,1,1
2024-05-25,EM,KIRO-TV,4,2,2
2024-05-26,EM,KIRO-TV,1,1,0
2024-05-27,EM,KIRO-TV,3,3,0
2024-05-28,EM,KIRO-TV,2,2,0
2024-05-29,EM,KIRO-TV,3,1,2
2024-05-30,EM,KIRO-TV,4,3,1
2024-05-31,EM,KIRO-TV,1,0,1
2024-06-01,EM,KIRO-TV,3,2,1
2024-06-02,EM,KIRO-TV,2,1,1
2024-06-03,EM,KIRO-TV,1,1,0
2024-06-04,EM,KIRO-TV,3,2,1
2024-06-05,EM,KIRO-TV,2,2,0
2024-06-06,EM,KIRO-TV,1,1,0
2024-06-07,EM,KIRO-TV,1,0,1
2024-06-08,EM,KIRO-TV,1,1,0
2024-06-09,EM,KIRO-TV,2,2,0
2024-06-10,EM,KIRO-TV,6,3,3
2024-06-11,EM,KIRO-TV,4,3,1
2024-06-12,EM,KIRO-TV,3,1,2
2024-06-13,EM,KIRO-TV,0,0,0
2024-06-14,EM,KIRO-TV,3,1,2
2024-06-15,EM,KIRO-TV,1,1,0
2024-06-16,EM,KIRO-TV,3,2,1
2024-06-17,EM,KIRO-TV,1,0,1
2024-06-18,EM,KIRO-TV,4,4,0
2024-06-19,EM,KIRO-TV,3,2,1
2024-06-20,EM,KIRO-TV,2,2,0
2024-06-21,EM,KIRO-TV,4,3,1
2024-06-22,EM,KIRO-TV,3,2,1
2024-06-23,EM,KIRO-TV,3,2,1
2024-06-24,EM,KIRO-TV,4,2,2
2024-06-25,EM,KIRO-TV,1,1,0
2024-06-26,EM,KIRO-TV,2,1,1
2024-06-27,EM,KIRO-TV,3,1,2
2024-06-28,EM,KIRO-TV,3,2,1
2024-06-29,EM,KIRO-TV,4,2,2
2024-06-30,EM,KIRO-TV,3,3,0
2024-07-01,EM,KIRO-TV,2,1,1
2024-07-02,EM,KIRO-TV,0,0,0
2024-07-03,EM,KIRO-TV,3,2,1
2024-07-04,EM,KIRO-TV,1,0,1
2024-07-05,EM,KIRO-TV,1,0,1
2024-07-06,EM,KIRO-TV,2,0,2
2024-07-07,EM,KIRO-TV,1,0,1
2024-07-08,EM,KIRO-TV,2,1,1
2024-07-09,EM,KIRO-TV,4,3,1
2024-07-10,EM,KIRO-TV,4,3,1
2024-07-11,EM,KIRO-TV,2,1,1
2024-07-12,EM,KIRO-TV,3,2,1
2024-07-13,EM,KIRO-TV,0,0,0
2024-07-14,EM,KIRO-TV,3,0,3
2024-07-15,EM,KIRO-TV,2,2,0
2024-07-16,EM,KIRO-TV,3,1,2
2024-07-17,EM,KIRO-TV,0,0,0
2024-07-18,EM,KIRO-TV,3,2,1
2024-07-19,EM,KIRO-TV,5,3,2
2024-07-20,EM,KIRO-TV,1,0,1
2024-07-21,EM,KIRO-TV,2,0,2
2024-07-22,EM,KIRO-TV,3,2,1
2024-07-23,EM,KIRO-TV,5,4,1
2024-07-24,EM,KIRO-TV,4,2,2
2024-07-25,EM,KIRO-TV,3,1,2
2024-07-26,EM,KIRO-TV,3,2,1
2024-07-27,EM,KIRO-TV,1,1,0
2024-07-28,EM,KIRO-TV,2,1,1
2024-07-29,EM,KIRO-TV,4,1,3
2024-07-30,EM,KIRO-TV,1,1,0
2024-07-31,EM,KIRO-TV,3,2,1
2024-08-01,EM,KIRO-TV,2,1,1
2024-08-02,EM,KIRO-TV,1,0,1
2024-08-03,EM,KIRO-TV,2,0,2
2024-08-04,EM,KIRO-TV,3,1,2
2024-08-05,EM,KIRO-TV,3,2,1
2024-08-06,EM,KIRO-TV,1,0,1
2024-08-07,EM,KIRO-TV,1,1,0
2024-08-08,EM,KIRO-TV,1,0,1
2024-08-09,EM,KIRO-TV,2,1,1
2024-08-10,EM,KIRO-TV,4,3,1
2024-08-11,EM,KIRO-TV,3,1,2
2024-08-12,EM,KIRO-TV,2,1,1
2024-08-13,EM,KIRO-TV,1,1,0
2024-08-14,EM,KIRO-TV,3,2,1
2024-08-15,EM,KIRO-TV,4,3,1
2024-08-16,EM,KIRO-TV,4,2,2
2024-08-17,EM,KIRO-TV,3,2,1
2024-08-18,EM,KIRO-TV,4,3,1
2024-08-19,EM,KIRO-TV,2,1,1
2024-08-20,EM,KIRO-TV,1,1,0
2024-08-21,EM,KIRO-TV,1,0,1
2024-08-22,EM,KIRO-TV,3,2,1
2024-08-23,EM,KIRO-TV,6,5,1
2024-08-24,EM,KIRO-TV,8,6,2
2024-08-25,EM,KIRO-TV,3,3,0
2024-08-26,EM,KIRO-TV,1,0,1
2024-08-27,EM,KIRO-TV,4,2,2
2024-08-28,EM,KIRO-TV,4,2,2
2024-08-29,EM,KIRO-TV,2,1,1
2024-08-30,EM,KIRO-TV,6,5,1
2024-08-31,EM,KIRO-TV,3,2,1
2024-09-01,EM,KIRO-TV,8,6,2
2024-09-02,EM,KIRO-TV,2,1,1
2024-09-03,EM,KIRO-TV,3,2,1
2024-09-04,EM,KIRO-TV,2,2,0
2024-09-05,EM,KIRO-TV,7,5,2
2024-09-06,EM,KIRO-TV,3,2,1
2024-09-07,EM,KIRO-TV,6,5,1
2024-09-08,EM,KIRO-TV,4,2,2
2024-09-09,EM,KIRO-TV,4,3,1
2024-09-10,EM,KIRO-TV,1,0,1
2024-09-11,EM,KIRO-TV,3,2,1
2024-09-12,EM,KIRO-TV,2,0,2
2024-09-13,EM,KIRO-TV,2,1,1
2024-09-14,EM,KIRO-TV,3,1,2
2024-09-15,EM,KIRO-TV,4,2,2
2024-09-16,EM,KIRO-TV,3,1,2
2024-09-17,EM,KIRO-TV,3,2,1
2024-09-18,EM,KIRO-TV,3,2,1
2024-09-19,EM,KIRO-TV,3,3,0
2024-09-20,EM,KIRO-TV,1,1,0
2024-09-21,EM,KIRO-TV,3,3,0
2024-09-22,EM,KIRO-TV,3,2,1
2024-09-23,EM,KIRO-TV,3,1,2
2024-09-24,EM,KIRO-TV,1,1,0
2024-09-25,EM,KIRO-TV,6,6,0
2024-09-26,EM,KIRO-TV,6,5,1
2024-09-27,EM,KIRO-TV,2,1,1
2024-09-28,EM,KIRO-TV,8,6,2
2024-09-29,EM,KIRO-TV,3,1,2
2024-09-30,EM,KIRO-TV,1,1,0
2024-10-01,EM,KIRO-TV,2,2,0
2024-10-02,EM,KIRO-TV,6,4,2
2024-10-03,EM,KIRO-TV,3,0,3
2024-10-04,EM,KIRO-TV,2,0,2
2024-10-05,EM,KIRO-TV,5,3,2
2024-10-06,EM,KIRO-TV,4,4,0
2024-10-07,EM,KIRO-TV,5,4,1
2024-10-08,EM,KIRO-TV,3,2,1
2024-10-09,EM,KIRO-TV,4,3,1
2024-10-10,EM,KIRO-TV,4,2,2
2024-10-11,EM,KIRO-TV,2,1,1
2024-10-12,EM,KIRO-TV,4,2,2
2024-10-13,EM,KIRO-TV,5,3,2
2024-10-14,EM,KIRO-TV,4,3,1
2024-10-15,EM,KIRO-TV,0,0,0
2024-10-16,EM,KIRO-TV,1,1,0
2024-10-17,EM,KIRO-TV,3,2,1
