order_id,advertiser_name,agency_name,order_date,start_date,end_date,order_total,station
WO-01001,Pacific Auto Group,Northwest Ad Works,2023-11-18,2023-12-10,2024-03-09,17110.58,KHQ-TV
WO-01002,Pacific Auto Group,Northwest Ad Works,2023-12-03,2023-12-17,2024-03-16,23899.92,KREM-TV
WO-01003,Pacific Auto Group,Northwest Ad Works,2023-12-01,2023-12-25,2024-01-07,3909.25,KAPP-TV
WO-01004,Pacific Auto Group,Northwest Ad Works,2023-11-06,2023-11-20,2024-01-14,4966.68,KHQ-TV
WO-01005,Pacific Auto Group,Northwest Ad Works,2023-12-07,2024-01-03,2024-01-09,1841.67,KAPP-TV
WO-01006,Pacific Auto Group,Northwest Ad Works,2023-12-23,2024-01-11,2024-01-17,2679.32,KHQ-TV
WO-01007,Pacific Auto Group,Northwest Ad Works,2024-01-27,2024-01-30,2024-04-29,96914.1,KIRO-TV
WO-01008,Pacific Auto Group,Northwest Ad Works,2024-02-01,2024-02-25,2024-05-25,37013.37,KHQ-TV
WO-01009,Pacific Auto Group,Northwest Ad Works,2024-02-21,2024-03-07,2024-04-03,13511.15,KREM-TV
WO-01010,Pacific Auto Group,Northwest Ad Works,2024-03-11,2024-04-01,2024-04-07,3982.54,KREM-TV
WO-01011,Pacific Auto Group,Northwest Ad Works,2024-04-12,2024-04-25,2024-05-22,30153.55,KIRO-TV
WO-01012,Pacific Auto Group,Northwest Ad Works,2024-03-31,2024-04-15,2024-05-12,11763.78,KAPP-TV
WO-01013,Pacific Auto Group,Northwest Ad Works,2024-04-12,2024-05-03,2024-06-27,16755.21,KREM-TV
WO-01014,Pacific Auto Group,Northwest Ad Works,2024-05-12,2024-06-02,2024-07-27,23428.88,KAPP-TV
WO-01015,Pacific Auto Group,Northwest Ad Works,2024-06-08,2024-06-27,2024-07-10,7633.22,KIRO-TV
WO-01016,Pacific Auto Group,Northwest Ad Works,2024-06-17,2024-07-12,2024-10-10,25065.23,KAPP-TV
WO-01017,Pacific Auto Group,Northwest Ad Works,2024-06-21,2024-07-18,2024-10-16,94758.71,KIRO-TV
