spot_id,order_id,air_date,air_time,daypart,program,length,rate,status,station
SP-100001,WO-01001,2024-02-06,23:21:00,LN,Late News at 11,30,177.11,aired,KNDO-TV
SP-100002,WO-01001,2024-02-13,22:50:00,PR,The Voice,30,360.42,aired,KNDO-TV
SP-100003,WO-01001,2024-01-14,22:13:00,PR,Chicago Fire,15,240.17,aired,KNDO-TV
SP-100004,WO-01001,2024-02-23,09:58:00,DT,Local Hour,30,91.96,aired,KNDO-TV
SP-100005,WO-01001,2024-01-20,17:30:00,EN,Evening News at 6,30,278.62,aired,KNDO-TV
SP-100006,WO-01001,2024-02-18,17:22:00,EN,Evening News at 6,15,162.27,aired,KNDO-TV
SP-100007,WO-01001,2024-02-27,14:53:00,DT,The Talk,30,109.58,aired,KNDO-TV
SP-100008,WO-01001,2024-03-01,09:16:00,DT,The Young and the Restless,30,100.01,aired,KNDO-TV
SP-100009,WO-01001,2024-01-07,16:08:00,EF,Judge Judy,15,72.29,aired,KNDO-TV
SP-100010,WO-01001,2024-01-12,10:22:00,DT,The Price Is Right,30,90.02,aired,KNDO-TV
SP-100011,WO-01001,2024-02-14,19:36:00,PA,Entertainment Tonight,60,415.47,aired,KNDO-TV
SP-100012,WO-01001,2024-01-17,22:46:00,PR,Sunday Night Football,30,370.41,aired,KNDO-TV
SP-100013,WO-01001,2024-01-07,07:14:00,EM,NW Morning News,30,118.46,aired,KNDO-TV
SP-100014,WO-01001,2024-01-17,17:26:00,EN,Evening News at 5:30,15,155.2,aired,KNDO-TV
SP-100015,WO-01001,2024-01-19,21:48:00,PR,Law & Order,30,407.55,aired,KNDO-TV
SP-100016,WO-01001,2024-02-05,21:12:00,PR,Law & Order,30,347.43,aired,KNDO-TV
SP-100017,WO-01001,2024-01-03,23:02:00,LN,Late News at 11,30,214.84,aired,KNDO-TV
SP-100018,WO-01001,2024-01-28,18:22:00,EN,Evening News at 5:30,15,134.26,aired,KNDO-TV
SP-100019,WO-01001,2024-01-04,23:30:00,LN,News Tonight,30,189.04,aired,KNDO-TV
SP-100020,WO-01001,2024-02-11,09:53:00,DT,Local Hour,15,66.02,aired,KNDO-TV
SP-100021,WO-01001,2024-01-31,17:05:00,EN,Evening News at 6,30,232.27,aired,KNDO-TV
SP-100022,WO-01001,2024-01-12,14:14:00,DT,The Talk,30,106.5,aired,KNDO-TV
SP-100023,WO-01001,2024-02-04,18:00:00,EN,Evening News at 5:30,30,259.49,aired,KNDO-TV
SP-100024,WO-01001,2024-03-07,18:22:00,EN,Evening News at 5,30,274.54,aired,KNDO-TV
SP-100025,WO-01001,2024-02-06,14:34:00,DT,The Talk,15,52.2,aired,KNDO-TV
SP-100026,WO-01001,2024-02-26,22:45:00,PR,The Voice,60,664.84,aired,KNDO-TV
SP-100027,WO-01001,2024-02-02,16:04:00,EF,People's Court,30,144.29,aired,KNDO-TV
SP-100028,WO-01001,2024-01-07,10:59:00,DT,Let's Make a Deal,15,60.32,aired,KNDO-TV
SP-100029,WO-01001,2024-03-01,14:27:00,DT,The Talk,15,52.9,aired,KNDO-TV
SP-100030,WO-01001,2024-01-21,17:59:00,EN,Evening News at 6,15,154.4,aired,KNDO-TV
SP-100031,WO-01001,2024-02-19,16:19:00,EF,Hot Bench,30,134.5,aired,KNDO-TV
SP-100032,WO-01001,2024-02-26,18:17:00,EN,Evening News at 6,30,260.27,aired,KNDO-TV
SP-100033,WO-01001,2024-01-04,11:31:00,DT,The Young and the Restless,30,90.06,aired,KNDO-TV
SP-100034,WO-01001,2024-02-20,22:39:00,PR,60 Minutes,30,418.29,aired,KNDO-TV
SP-100035,WO-01001,2024-01-17,01:30:00,LF,The Tonight Show,30,55.27,aired,KNDO-TV
